ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Anyi,Anyi,ganc1239,,,,,,
Beijing,Beijing,mand1415,,,,,,
Changsha,Changsha,xian1251,,,,,,
Chengdu,Chengdu,mand1415,,,,,,
Fuzhou,Fuzhou,mind1253,,,,,,
Guangzhou,Guangzhou,yuec1235,,,,,,
Lianchang,Lianchang,hakk1239,,,,,,
Meixian,Meixian,hakk1236,,,,,,
Nanchang,Nanchang,ganc1239,,,,,,
Ningbo,Ningbo,wuch1236,,,,,,
Ningxia,Ningxia,mand1415,,,,,,
Shanghai,Shanghai,wuch1236,,,,,,
Shanghai_B,Shanghai_B,wuch1236,,,,,,
Shuangfeng,Shuangfeng,xian1251,,,,,,
Suzhou,Suzhou,wuch1236,,,,,,
Taibei,Taibei,minn1241,,,,,,
Taiyuan,Taiyuan,jiny1235,,,,,,
Wenzhou,Wenzhou,wuch1236,,,,,,
Wuhan,Wuhan,mand1415,,,,,,
Xiamen,Xiamen,minn1241,,,,,,
Yingshan,Yingshan,mand1415,,,,,,
Yuci,Yuci,jiny1235,,,,,,
Zhanping,Zhanping,minn1241,,,,,,
OldChinese,OldChinese,sini1245,,,,,,
